ISBT Product Description codes,Long Description
E4213,Apheresis Fresh Frozen Plasma|ACD-A/XX/<-30C
E2940,Apheresis Platelets|ACD-A/XX/20-24C
E3045,Apheresis Platelets|ACD-A/XX/20-24C|Irradiated
E3093,Apheresis Platelets|ACD-A/XX/20-24C|Plasma reduced
E3062,Apheresis Platelets|ACD-A/XX/20-24C|Irradiated|Plasma reduced
E3928,Apheresis Platelets|ACD-A/XX/20-24C|ResLeu:<1log6
E3929,Apheresis Platelets|ACD-A/XX/20-24C|Irradiated|ResLeu:<1log6
E3930,Apheresis Platelets|ACD-A/XX/20-24C|ResLeu:<1log6|Plasma reduced
E3931,Apheresis Platelets|ACD-A/XX/20-24C|Irradiated|ResLeu:<1log6|Plasma reduced
E2981,Apheresis Platelets|ACD-A/XX/20-24C|Open
E2982,Apheresis Platelets|ACD-A/XX/20-24C|Open|Irradiated
E5358,Cryoprecipitate|CPD/450mL/<-30C
E8264,Cryoprecipitate|CPD/450mL/<-30C|ResLeu:<1E6
E7448,Deglycerolized Red Blood Cells|AS3/XX/refg|Open|ResLeu:<1log6
E7447,Deglycerolized Red Blood Cells|AS3/XX/refg|ResLeu:<1log6
E7462,Leukocytes | CPD/350 mL/rt | Irradiated
E6080,Leukocytes|CPD/450mL/rt|Irradiated
E8260,Plasma |CPD/450mL/<-30C|Frozen <=24h
E8262,Plasma|CPD/350mL/<-30C|Frozen <=24h
E8261,Plasma | CPD/450 mL/<-30 C | Res Leu: <1log6|Frozen <=24h
E8263,Plasma | CPD/450 mL/<-30 C | Res Leu: <1log6| Methylene blue treated|Frozen<=24h
E5359,Plasma|CPD/450mL/<-30C|Cryo reduced
E5690,Plasma|CPD/450mL/<-30C|ResLeu:<1E6|Cryo reduced
E2807,Platelets|CPD/450mL/20-24C
E2809,Platelets|CPD/450mL/20-24C|Irradiated
E6506,Platelets|CPD/350mL/20-24C
E7453,Platelets | CPD/350 mL/20-24 C| Irradiated
E2823,Platelets|CPD/450mL/20-24C|Buffy coat plts prep
E2816,Platelets|CPD/450mL/20-24C|Irradiated|Buffy coat plts prep
E7456,Platelets|CPD/350mL/20-24C|Buffy coat plts prep
E7457,Platelets | CPD/350 mL/20-24 C | Irradiated | Buffy coat plts prep
E8259,Pooled Platelets|PAS-C/XX/20-24C|Buffy coat plts prep|Psoralen-treated
E7455,Pooled Platelets|CPD/XX/20-24C
