ISBT Product Description codes,Long Description
E0009V00,Whole Blood
E0009VA0,Whole Blood
E0009VB0,Whole Blood
E0009VC0,Whole Blood
E0009VD0,Whole Blood
E0009VE0,Whole Blood
E0009VF0,Whole Blood
E0009VG0,Whole Blood
E0009VH0,Whole Blood
E0009VI0,Whole Blood
E0009VJ0,Whole Blood
E6507V00,Whole Blood
E6507VA0,Whole Blood
E6507VB0,Whole Blood
E6507VC0,Whole Blood
E6507VD0,Whole Blood
E6507VE0,Whole Blood
E6507VF0,Whole Blood
E6507VG0,Whole Blood
E6507VH0,Whole Blood
E6507VI0,Whole Blood
E6507VJ0,Whole Blood
E0053V00,Whole Blood
E0053VA0,Whole Blood
E0053VB0,Whole Blood
E0053VC0,Whole Blood
E0053VD0,Whole Blood
E0053VE0,Whole Blood
E0053VF0,Whole Blood
E0053VG0,Whole Blood
E0053VH0,Whole Blood
E0053VI0,Whole Blood
E0053VJ0,Whole Blood
E5128V00,Whole Blood
E5128VA0,Whole Blood
E5128VB0,Whole Blood
E5128VC0,Whole Blood
E5128VD0,Whole Blood
E5128VE0,Whole Blood
E5128VF0,Whole Blood
E5128VG0,Whole Blood
E5128VH0,Whole Blood
E5128VI0,Whole Blood
E5128VJ0,Whole Blood
E0017V00,Whole Blood
E0017VA0,Whole Blood
E0017VB0,Whole Blood
E0017VC0,Whole Blood
E0017VD0,Whole Blood
E0017VE0,Whole Blood
E0017VF0,Whole Blood
E0017VG0,Whole Blood
E0017VH0,Whole Blood
E0017VI0,Whole Blood
E0017VJ0,Whole Blood
E7424V00,Whole Blood
E7424VA0,Whole Blood
E7424VB0,Whole Blood
E7424VC0,Whole Blood
E7424VD0,Whole Blood
E7424VE0,Whole Blood
E7424VF0,Whole Blood
E7424VG0,Whole Blood
E7424VH0,Whole Blood
E7424VI0,Whole Blood
E7424VJ0,Whole Blood
E0061V00,Whole Blood
E0061VA0,Whole Blood
E0061VB0,Whole Blood
E0061VC0,Whole Blood
E0061VD0,Whole Blood
E0061VE0,Whole Blood
E0061VF0,Whole Blood
E0061VG0,Whole Blood
E0061VH0,Whole Blood
E0061VI0,Whole Blood
E0061VJ0,Whole Blood
E4209V00,Whole Blood
E4209VA0,Whole Blood
E4209VB0,Whole Blood
E4209VC0,Whole Blood
E4209VD0,Whole Blood
E4209VE0,Whole Blood
E4209VF0,Whole Blood
E4209VG0,Whole Blood
E4209VH0,Whole Blood
E4209VI0,Whole Blood
E4209VJ0,Whole Blood
E6508V00,Whole Blood
E6508VA0,Whole Blood
E6508VB0,Whole Blood
E6508VC0,Whole Blood
E6508VD0,Whole Blood
E6508VE0,Whole Blood
E6508VF0,Whole Blood
E6508VG0,Whole Blood
E6508VH0,Whole Blood
E6508VI0,Whole Blood
E6508VJ0,Whole Blood
E4396V00,Whole Blood
E4396VA0,Whole Blood
E4396VB0,Whole Blood
E4396VC0,Whole Blood
E4396VD0,Whole Blood
E4396VE0,Whole Blood
E4396VF0,Whole Blood
E4396VG0,Whole Blood
E4396VH0,Whole Blood
E4396VI0,Whole Blood
E4396VJ0,Whole Blood
E5356V00,Whole Blood
E5356VA0,Whole Blood
E5356VB0,Whole Blood
E5356VC0,Whole Blood
E5356VD0,Whole Blood
E5356VE0,Whole Blood
E5356VF0,Whole Blood
E5356VG0,Whole Blood
E5356VH0,Whole Blood
E5356VI0,Whole Blood
E5356VJ0,Whole Blood
E5584V00,Whole Blood
E5584VA0,Whole Blood
E5584VB0,Whole Blood
E5584VC0,Whole Blood
E5584VD0,Whole Blood
E5584VE0,Whole Blood
E5584VF0,Whole Blood
E5584VG0,Whole Blood
E5584VH0,Whole Blood
E5584VI0,Whole Blood
E5584VJ0,Whole Blood
E6509V00,Whole Blood
E6509VA0,Whole Blood
E6509VB0,Whole Blood
E6509VC0,Whole Blood
E6509VD0,Whole Blood
E6509VE0,Whole Blood
E6509VF0,Whole Blood
E6509VG0,Whole Blood
E6509VH0,Whole Blood
E6509VI0,Whole Blood
E6509VJ0,Whole Blood
E5064V00,Whole Blood
E5064VA0,Whole Blood
E5064VB0,Whole Blood
E5064VC0,Whole Blood
E5064VD0,Whole Blood
E5064VE0,Whole Blood
E5064VF0,Whole Blood
E5064VG0,Whole Blood
E5064VH0,Whole Blood
